ID,Title,Content,Excerpt,Date,Post Type,Permalink,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,mm365_services_looking_for,mm365_services_industry,mm365_mr_mbe_category,mm365_services_details,mm365_service_country,mm365_service_state,mm365_service_city,mm365_location_for_search,mm365_certifications,mm365_naics_codes,mm365_number_of_employees,mm365_size_of_company,mm365_requester_id,mm365_requester_company_id,mm365_requester_company_name,mm365_matchrequest_status,mm365_matched_companies,mm365_matched_companies_approved_time,mm365_matched_companies_approved_by,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date
3054,MR-2144-1618036736,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618036736/,,,,,,,,other|Transportation ,Materials,BLF,In search of truck transportation services,233,all,all,"'-, -,United States",,,,,2144,3043,H2soft Pvt Ltd,approved,"[[2848,""1""],[2451,""1""],[3019,""1""],[2797,""0""],[2406,""0""],[2547,""1""],[2212,""1""],[2235,""0""],[2347,""0""],[2359,""0""],[2373,""0""],[2643,""1""],[2675,""0""],[2726,""0""],[2744,""0""]]",1618037176,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618036736,,,0,0,0,closed,closed,10-04-2021
3055,MR-2144-1618037377,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618037377/,,,,,,,,Manufacturing - CNC Machining,Automotive|Aerospace,BLM,Searching for CNC machining services for metals,233,1426,all,"'-, Michigan,United States",other|ISO 9001,,,,2144,3043,H2soft Pvt Ltd,approved,"[[2820,""1""],[2951,""1""],[2712,""0""],[2629,""1""],[2901,""0""],[2454,""0""],[2338,""1""],[2565,""1""],[2624,""1""],[2762,""1""]]",1618037722,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618037377,,,0,0,0,closed,closed,10-04-2021
3056,MR-2144-1618038063,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618038063/,,,,,,,,Strategy Development,other|Real Estate,HIM,Looking for real estate agencies,233,all,all,"'-, -,United States",,,,,2144,3043,H2soft Pvt Ltd,approved,"[[2425,""1""],[2952,""1""],[2264,""1""],[2817,""1""],[2824,""1""],[2853,""1""],[2869,""1""],[2970,""0""],[2702,""0""],[2581,""0""],[2649,""0""],[2656,""0""],[2691,""0""],[2737,""0""],[2793,""0""]]",1618038223,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618038063,,,0,0,0,closed,closed,10-04-2021
3057,MR-2144-1618041985,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618041985/,,,,,,,,IT|Staffing,Information Technology,AIM,Looking for Recruitment Consultation for Software companies,233,1426,all,"'-, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,approved,"[[2660,""1""],[2702,""0""],[2732,""1""],[2261,""0""],[2461,""1""],[2755,""0""],[2831,""1""],[2891,""0""],[2275,""0""],[2783,""1""],[2813,""0""],[2896,""0""],[3015,""0""],[2502,""1""],[2946,""1""]]",1618042338,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618041985,,,0,0,0,closed,closed,10-04-2021
3058,MR-2144-1618042540,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618042540/,,,,,,,,Software Development|Software Services,Information Technology,AIM,"looking for Software design, develop, and test software and applications for computers. application development including monitoring, and evaluating system performance, website designing and implementing new programs and features.",233,all,all,"'-, -,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2543,""0""],[2702,""0""],[2261,""0""],[2951,""0""],[2340,""0""],[2839,""0""],[2752,""0""],[2838,""0""],[2326,""0""],[2316,""0""],[2236,""0""],[2772,""0""],[2389,""0""],[2958,""0""],[2820,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618042540,,,0,0,0,closed,closed,10-04-2021
3059,MR-2144-1618042654,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618042654/,,,,,,,,Engineering and Design,Information Technology,AIF,Looking CAD programming services,233,1426,111634,"Auburn Hills, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2901,""0""],[3009,""0""],[2691,""0""],[2432,""0""],[2437,""0""],[2492,""0""],[2494,""0""],[2508,""0""],[2603,""0""],[2746,""0""],[2820,""0""],[3012,""0""],[2216,""0""],[2249,""0""],[2527,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618042654,,,0,0,0,closed,closed,10-04-2021
3060,MR-2144-1618043523,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618043523/,,,,,,,,Manufacturing - Raw Materials,Health Care|Materials|other|Gloves|Sanitizers|face mask,BLM,"Looking for PPE kits such as face mask , gloves and sanitizers for workers",233,1426,115291,"Detroit, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,approved,"[[3039,""1""],[2938,""1""],[3019,""1""],[2940,""1""],[2987,""1""],[2925,""0""],[2283,""0""],[2840,""0""],[2866,""0""],[2748,""0""],[2841,""0""],[3010,""0""],[3028,""0""],[2456,""1""],[2490,""1""]]",1618043890,2,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618043523,,,0,0,0,closed,closed,10-04-2021
3061,MR-2144-1618044276,,,10-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618044276/,,,,,,,,Access to capital/financing|Financial Planning,Banking/Finance,BLF,Looking for tax information and services,233,1426,123256,"Oak Park, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2824,""0""],[3015,""0""],[2957,""0""],[2812,""0""],[2539,""0""],[2660,""0""],[2262,""0""],[2468,""0""],[2513,""0""],[2763,""0""],[2960,""0""],[2991,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618044276,,,0,0,0,closed,closed,10-04-2021
3062,MR-2144-1618210273,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618210273/,,,,,,,,Software Services,Information Technology,AIM,"In need of authorized dealers for HP laptops , software and hardware services for systems",233,all,all,"'-, -,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2560,""0""],[2785,""0""],[2539,""0""],[2435,""0""],[2414,""0""],[2316,""0""],[2839,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618210273,,,0,0,0,closed,closed,12-04-2021
3063,MR-2144-1618222090,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618222090/,,,,,,,,Cleaning and area maintenance,Information Technology,BLM,"Looking for janitorial, Routine office cleaning, Carpet and upholstery cleaning",233,1426,112441,"Bloomfield Hills, Michigan,United States",,561730,,,2144,3043,H2soft Pvt Ltd,pending,"[[2913,""0""],[2207,""0""],[2269,""0""],[2276,""0""],[2890,""0""],[2362,""0""],[2687,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618222090,,,0,0,0,closed,closed,12-04-2021
3064,MR-2144-1618222652,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618222652/,,,,,,,,Software Services,Information Technology,null,In need of dealers for laptops and other computer services,233,all,all,"'-, -,United States",,541512,,,2144,3043,H2soft Pvt Ltd,pending,"[[2432,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618222652,,,0,0,0,closed,closed,12-04-2021
3065,MR-2144-1618222923,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618222923/,,,,,,,,Software Development|Software Services,Information Technology,AIM,In need of computer software services,233,all,all,"'-, -,United States",,541512,,,2144,3043,H2soft Pvt Ltd,pending,"[[2432,""0""],[2645,""0""],[2702,""0""],[2508,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618222923,,,0,0,0,closed,closed,12-04-2021
3066,MR-2144-1618223592,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618223592/,,,,,,,,Manufacturing - Raw Materials,Health Care,BLM,"In need of PPE kit equipment such as gloves , face masks",233,all,all,"'-, -,United States",,446199|423450,,,2144,3043,H2soft Pvt Ltd,pending,"[[2987,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618223592,,,0,0,0,closed,closed,12-04-2021
3067,MR-2144-1618223778,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618223778/,,,,,,,,IT,Information Technology,AIF,"IT, training, development , Quality Assurance, Business Analysis and web development technology",233,all,all,"'-, -,United States",,541511,,,2144,3043,H2soft Pvt Ltd,pending,"[[2702,""0""],[2882,""0""],[2543,""0""],[2316,""0""],[2836,""0""],[3030,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618223778,,,0,0,0,closed,closed,12-04-2021
3068,MR-2144-1618224193,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618224193/,,,,,,,,Quality Assurance|Staffing,Information Technology,AIF,"In search for services in IT consulting , Quality Assurance and Web Development",233,all,all,"'-, -,United States",,541511,,,2144,3043,H2soft Pvt Ltd,pending,"[[2882,""0""],[2702,""0""],[2509,""0""],[2797,""0""],[2326,""0""],[2836,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618224193,,,0,0,0,closed,closed,12-04-2021
3069,MR-2144-1618225955,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618225955/,,,,,,,,Manufacturing - Textiles (including cut and sew),Energy/Utilities,null,"""Chemical management services""",233,1426,126772,"Southfield, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2676,""0""],[2930,""0""],[2952,""0""],[2368,""0""],[2431,""0""],[2838,""0""],[2900,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618225955,,,0,0,0,closed,closed,12-04-2021
3070,MR-2144-1618227655,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618227655/,,,,,,,,Software Development|Software Services,Information Technology,AIM,Looking for software application development companies,233,all,all,"'-, -,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2702,""0""],[2543,""0""],[2261,""0""],[2316,""0""],[2752,""0""],[2930,""0""],[2907,""0""],[2746,""0""],[2492,""0""],[2297,""0""],[2461,""0""],[2755,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618227655,,,0,0,0,closed,closed,12-04-2021
3071,MR-2144-1618227901,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618227901/,,,,,,,,other|Insurance ,Banking/Finance,HIF,Searching for annuity products and group health insurance,233,1426,116423,"Farmington Hills, Michigan,United States",,523120,,,2144,3043,H2soft Pvt Ltd,pending,"[[2845,""0""],[2486,""0""],[2283,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618227901,,,0,0,0,closed,closed,12-04-2021
3072,MR-2144-1618228398,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618228398/,,,,,,,,other|Insurance ,Banking/Finance,APM,Insurance agency,233,1426,127848,"Troy, Michigan,United States",,524126,&lt; 20,"$100,000 - $500,000",2144,3043,H2soft Pvt Ltd,pending,"[[2845,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618228398,,,0,0,0,closed,closed,12-04-2021
3073,MR-2144-1618229832,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618229832/,,,,,,,,other|Finance,Banking/Finance,BLF,"Provides sales and service of Property/Casualty, Life, Health policies to business owners and individuals.",233,1426,115291,"Detroit, Michigan,United States",,524210,,"$100,000 - $500,000",2144,3043,H2soft Pvt Ltd,pending,"[[2969,""0""],[2754,""0""],[2543,""0""],[2389,""0""],[2851,""0""],[2802,""0""],[2845,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618229832,,,0,0,0,closed,closed,12-04-2021
3074,MR-2144-1618230207,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618230207/,,,,,,,,other|Insurance ,Banking/Finance,BLF,Life Insurance Agencies,233,1426,116487,"Ferndale, Michigan,United States",,524210,&lt; 20,$1M - $5M,2144,3043,H2soft Pvt Ltd,pending,"[[2845,""0""],[2486,""0""],[2283,""0""],[2816,""0""],[2969,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618230207,,,0,0,0,closed,closed,12-04-2021
3075,MR-2144-1618230863,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618230863/,,,,,,,,Cleaning and area maintenance|Supply Chain,Information Technology,BLM,Looking for janitorial and power washing services,233,1426,117747,"Grosse Pointe Shores, Michigan,United States",,423840,&lt; 20,$1M - $5M,2144,3043,H2soft Pvt Ltd,pending,"[[2269,""0""],[2356,""0""],[2303,""0""],[2207,""0""],[2913,""0""],[2202,""0""],[2281,""0""],[2710,""0""],[2868,""0""],[2893,""0""],[2825,""0""],[2795,""0""],[2743,""0""],[2553,""0""],[2201,""0""],[2524,""0""],[2760,""0""],[2747,""0""],[2733,""0""],[2703,""0""],[2687,""0""],[2626,""0""],[2590,""0""],[2528,""0""],[2276,""0""],[2521,""0""],[2503,""0""],[2456,""0""],[2423,""0""],[2413,""0""],[2362,""0""],[2311,""0""],[2230,""0""],[2210,""0""],[2890,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618230863,,,0,0,0,closed,closed,12-04-2021
3076,MR-2144-1618232096,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618232096/,,,,,,,,Manufacturing - Raw Materials,Energy/Utilities,BLM,"""MANUFACTURER OF SPECIAL CHEMICAL PRODUCTS""",233,1426,126772,"Southfield, Michigan,United States",,333318,,,2144,3043,H2soft Pvt Ltd,pending,"[[2431,""0""],[2368,""0""],[3014,""0""],[3001,""0""],[2876,""0""],[2307,""0""],[2845,""0""],[2840,""0""],[2232,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618232096,,,0,0,0,closed,closed,12-04-2021
3077,MR-2144-1618232788,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618232788/,,,,,,,,Cleaning and area maintenance|Supply Chain,Information Technology,BLM,Looking for janitorial and power washing services,233,1426,117747,"Grosse Pointe Shores, Michigan,United States",,423840,&lt; 20,$1M - $5M,2144,3043,H2soft Pvt Ltd,pending,"[[2269,""0""],[2356,""0""],[2303,""0""],[2207,""0""],[2913,""0""],[2202,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618232788,,,0,0,0,closed,closed,12-04-2021
3078,MR-2144-1618233140,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618233140/,,,,,,,,Cleaning and area maintenance,Information Technology,null,Looking for Upholstery Cleaning,233,1426,115291,"Detroit, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2207,""0""],[2890,""0""],[2269,""0""],[2913,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618233140,,,0,0,0,closed,closed,12-04-2021
3079,MR-2144-1618234689,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618234689/,,,,,,,,Manufacturing - Heat Treatment,Energy/Utilities,BLF,Looking for cleaning and Janitorial service,233,1426,115291,"Detroit, Michigan,United States",,561720,,,2144,3043,H2soft Pvt Ltd,pending,"[[2207,""0""],[2890,""0""],[2262,""0""],[2687,""0""],[2331,""0""],[2760,""0""],[2626,""0""],[2703,""0""],[2306,""0""],[2269,""0""],[2913,""0""],[2987,""0""],[2356,""0""],[2864,""0""],[2902,""0""],[2362,""0""],[2423,""0""],[2456,""0""],[2942,""0""],[2250,""0""],[2733,""0""],[2521,""0""],[2905,""0""],[2710,""0""],[2969,""0""],[2929,""0""],[2932,""0""],[2897,""0""],[2953,""0""],[2958,""0""],[2561,""0""],[2531,""0""],[2281,""0""],[2607,""0""],[2750,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618234689,,,0,0,0,closed,closed,14-04-2021
3080,MR-2144-1618235164,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618235164/,,,,,,,,Cleaning and area maintenance,other|Cleaning Services,null,Looking for Upholstery cleaning service,233,1426,,"'-, Michigan,United States",,,,,2144,3043,H2soft Pvt Ltd,pending,"[[2207,""0""],[2890,""0""],[2269,""0""],[2913,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618235164,,,0,0,0,closed,closed,12-04-2021
3081,MR-2144-1618235380,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2144-1618235380/,,,,,,,,Cleaning and area maintenance,other|Cleaning Services,BLF,Looking for power washing service,233,1426,115291,"Detroit, Michigan,United States",,561710,,,2144,3043,H2soft Pvt Ltd,pending,"[[2207,""0""],[2356,""0""],[2303,""0""],[2281,""0""],[2743,""0""],[2269,""0""],[2825,""0""],[2201,""0""],[2546,""0""],[2929,""0""],[2750,""0""],[2633,""0""],[2561,""0""],[2932,""0""],[2262,""0""],[2603,""0""],[2225,""0""],[2764,""0""],[3010,""0""],[2370,""0""],[2859,""0""],[2607,""0""],[2234,""0""],[2456,""0""],[2855,""0""],[2776,""0""],[2987,""0""],[2942,""0""],[3009,""0""],[2958,""0""],[2721,""0""],[3020,""0""],[2897,""0""],[2467,""0""],[2969,""0""]]",,,publish,2144,raktest,raktest@yopmail.com,Rakesh,Test,mr-2144-1618235380,,,0,0,0,closed,closed,14-04-2021
3083,MR-2145-1618237119,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2145-1618237119/,,,,,,,,Cleaning and area maintenance,Information Technology,null,looking for cleaning service,233,1426,,"'-, Michigan,United States",,,,,2145,3082,John DZouza IT services,approved,"[[2207,""1""],[2890,""1""],[2269,""1""],[2913,""0""]]",1618237354,1246,publish,2145,raktest,raktest@yopmail.com,Rakesh,Test,mr-2145-1618237119,,,0,0,0,closed,closed,12-04-2021
3084,MR-2145-1618238791,,,12-04-2021,mm365_matchrequests,https://uat.minoritysupplier.org/matchrequest/mr-2145-1618238791/,,,,,,,,Manufacturing - Assemblies/Sub Assemblies,Aerospace,null,looking for ballbearing manufacturers,233,all,all,"'-, -,United States",,,,,2145,3082,John DZouza IT services,pending,"[[2882,""0""],[2206,""0""],[2352,""0""],[2385,""0""],[2637,""0""],[2666,""0""],[2669,""0""],[2674,""0""],[2705,""0""],[2782,""0""],[2820,""0""],[2873,""0""],[2876,""0""],[2955,""0""],[3029,""0""]]",,,publish,2145,raktest,raktest@yopmail.com,Rakesh,Test,mr-2145-1618238791,,,0,0,0,closed,closed,12-04-2021
